id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,3,200-300 m,2646,0.15682742452706455,16872.049056339412,7874.898180113915,2.142510121457259
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,4,300-400 m,1937,0.21955839433845675,8822.254352133987,7874.898180113915,1.1203007518766888
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,5,400-500 m,2140,0.282289364148873,7580.873641670086,7874.898180113915,0.9626630679255873
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,6,500-600 m,2290,0.3450203339603231,6637.289964084688,7874.898180113915,0.8428413691551597
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,1,0-100 m,179,0.03136548490540953,5706.910017167575,5706.910017167575,1.0
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,2,100-200 m,463,0.09409645471650507,4920.482938437287,5706.910017167575,0.8621973929211165
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,3,200-300 m,529,0.15682742452706455,3373.1345241132085,5706.910017167575,0.5910614525139027
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,4,300-400 m,927,0.21955839433845675,4222.111401356843,5706.910017167575,0.739824421386679
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,5,400-500 m,1165,0.282289364148873,4126.970931096098,5706.910017167575,0.7231533209182043
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,6,500-600 m,1217,0.3450203339603231,3527.328334624919,5706.910017167575,0.6180802437771019
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,1,0-100 m,124,0.03136548490540953,3953.390179490387,3953.390179490387,1.0
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,2,100-200 m,433,0.09409645471650507,4601.661149769644,3953.390179490387,1.1639784946202358
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,3,200-300 m,822,0.15682742452706455,5241.4302057108835,3953.390179490387,1.3258064516127603
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,4,300-400 m,1237,0.21955839433845675,5634.036465456758,3953.390179490387,1.425115207369442
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,5,400-500 m,1344,0.282289364148873,4761.072044114297,3953.390179490387,1.2043010752680183
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,6,500-600 m,2124,0.3450203339603231,6156.158901185972,3953.390179490387,1.5571847507294447
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,1,0-100 m,57,0.03136548490540953,1817.2841954109035,1817.2841954109035,1.0
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,2,100-200 m,66,0.09409645471650507,701.4079350688141,1817.2841954109035,0.3859649122795677
