modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Random Forest,0.51,0.9459035208212839,0.7470034815682153,0.19219403541517677,0.3024568141467293,0.8751135653880722,1033510,4477,55384,13189
Random Forest,0.52,0.945832128397918,0.7537198620332154,0.1871296700198058,0.2966107275625142,0.8751135653880722,1033779,4208,55732,12841
Random Forest,0.53,0.9457806174089068,0.7608332731830104,0.18232015216262057,0.2910864480646545,0.8751135653880722,1034052,3935,56062,12511
Random Forest,0.54,0.9457038027761712,0.7674566599676362,0.17751277983640013,0.28531134981599937,0.8751135653880722,1034297,3690,56392,12181
Random Forest,0.55,0.9456342177559283,0.774667981240062,0.1729020064366623,0.27980979666194106,0.8751135653880722,1034537,3450,56709,11864
Random Forest,0.56,0.9455727660497397,0.7818734939879983,0.16863718112780673,0.2746763127046827,0.8751135653880722,1034762,3225,57002,11571
Random Forest,0.57,0.9454905292076345,0.7882534106965247,0.16444045461729667,0.2694210873698763,0.8751135653880722,1034959,3028,57290,11283
Random Forest,0.58,0.9454516700404858,0.7954425235700879,0.1609594066184923,0.26515092831160203,0.8751135653880722,1035155,2832,57529,11044
Random Forest,0.59,0.9453676257952572,0.8022261432040937,0.15689702043621273,0.25996773154441816,0.8751135653880722,1035341,2646,57808,10765
Random Forest,0.6,0.9452790630422209,0.8083606432850688,0.15311115747700996,0.25501843164173,0.8751135653880722,1035503,2484,58068,10505
Random Forest,0.61,0.9451877891844997,0.8145480379398811,0.14929429193594723,0.25002777616142424,0.8751135653880722,1035664,2323,58330,10243
Random Forest,0.62,0.9450558487565066,0.81836116582997,0.14545164595214471,0.24478388109722887,0.8751135653880722,1035782,2205,58594,9979
Random Forest,0.63,0.9449257157316368,0.8236575317438156,0.14132482551509334,0.23915023609263614,0.8751135653880722,1035921,2066,58877,9696
Random Forest,0.64,0.9448443825910932,0.829739018892116,0.13800072130650778,0.23464526077051895,0.8751135653880722,1036059,1928,59105,9468
Random Forest,0.65,0.9447088273568538,0.8346686721235921,0.13411249854075136,0.2292060893476236,0.8751135653880722,1036176,1811,59372,9201
Random Forest,0.66,0.9445958646616541,0.8413817867439801,0.13026787941883677,0.22383056651233219,0.8751135653880722,1036315,1672,59636,8937
Random Forest,0.67,0.9444756723539619,0.8455101976907858,0.1269637187913504,0.21906291068227582,0.8751135653880722,1036409,1578,59863,8710
Random Forest,0.68,0.9443636133603238,0.8516289129786825,0.12340995242905298,0.21392151833249828,0.8751135653880722,1036529,1458,60107,8466
