id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
4420,0.0625,44.7,2.0,715.2,32.0
4421,0.0625,38.35,1.0,613.6,16.0
4422,0.0625,40.2,0.0,643.2,0.0
4423,0.0625,36.6,0.0,585.6,0.0
4424,0.0625,26.6,0.0,425.6,0.0
4425,0.0625,42.2,0.0,675.2,0.0
4426,0.0625,54.8,1.0,876.8,16.0
4427,0.0625,45.65,1.0,730.4,16.0
4428,0.0625,50.65,2.0,810.4,32.0
4429,0.0625,25.25,1.0,404.0,16.0
4430,0.0625,168.1,7.0,2689.6,112.0
4431,0.0625,9.15,1.0,146.4,16.0
4432,0.0625,0.15,0.0,2.4,0.0
4484,0.0625,14.25,0.0,228.0,0.0
4485,0.0625,39.8,2.0,636.8,32.0
4486,0.0625,75.4,1.0,1206.4,16.0
4487,0.0625,51.2,2.0,819.2,32.0
4488,0.0625,45.1,0.0,721.6,0.0
4489,0.0625,44.1,1.0,705.6,16.0
4490,0.0625,47.7,1.0,763.2,16.0
4491,0.0625,65.55,0.0,1048.8,0.0
4492,0.0625,154.4,8.0,2470.4,128.0
4493,0.0625,152.25,4.0,2436.0,64.0
4494,0.0625,54.4,0.0,870.4,0.0
4495,0.0625,62.7,0.0,1003.2,0.0
4496,0.0625,69.15,0.0,1106.4,0.0
4497,0.0625,62.45,4.0,999.2,64.0
4498,0.0625,32.75,0.0,524.0,0.0
4499,0.0625,54.35,2.0,869.6,32.0
4500,0.0625,40.55,0.0,648.8,0.0
4501,0.0625,64.05,0.0,1024.8,0.0
4502,0.0625,108.4,1.0,1734.4,16.0
4503,0.0625,25.0,0.0,400.0,0.0
4504,0.0625,40.95,2.0,655.2,32.0
4505,0.0625,36.95,0.0,591.2,0.0
4506,0.0625,53.5,2.0,856.0,32.0
4507,0.0625,63.45,2.0,1015.2,32.0
4508,0.0625,40.7,0.0,651.2,0.0
4509,0.0625,87.35,0.0,1397.6,0.0
4510,0.0625,53.35,1.0,853.6,16.0
4511,0.0625,69.15,3.0,1106.4,48.0
4512,0.0625,74.85,0.0,1197.6,0.0
4513,0.0625,30.95,1.0,495.2,16.0
4514,0.0625,49.1,0.0,785.6,0.0
4515,0.0625,61.5,1.0,984.0,16.0
4516,0.0625,55.05,3.0,880.8,48.0
4517,0.0625,63.4,1.0,1014.4,16.0
4518,0.0625,42.15,0.0,674.4,0.0
4519,0.0625,45.1,2.0,721.6,32.0
4520,0.0625,66.4,0.0,1062.4,0.0
4521,0.0625,97.5,1.0,1560.0,16.0
4522,0.0625,38.5,0.0,616.0,0.0
4523,0.0625,30.0,1.0,480.0,16.0
4524,0.0625,26.2,1.0,419.2,16.0
4525,0.0625,29.35,0.0,469.6,0.0
4526,0.0625,68.45,3.0,1095.2,48.0
4527,0.0625,67.15,2.0,1074.4,32.0
4528,0.0625,83.75,1.0,1340.0,16.0
4529,0.0625,64.3,0.0,1028.8,0.0
4530,0.0625,50.6,2.0,809.6,32.0
4531,0.0625,33.5,1.0,536.0,16.0
4532,0.0625,44.2,0.0,707.2,0.0
4533,0.0625,43.9,1.0,702.4,16.0
4534,0.0625,42.9,0.0,686.4,0.0
4535,0.0625,38.35,0.0,613.6,0.0
4536,0.0625,37.9,3.0,606.4,48.0
4537,0.0625,8.65,1.0,138.4,16.0
4538,0.0625,84.55,4.0,1352.8,64.0
4539,0.0625,52.65,1.0,842.4,16.0
4540,0.0625,20.7,0.0,331.2,0.0
4541,0.0625,12.0,1.0,192.0,16.0
4542,0.0625,47.15,1.0,754.4,16.0
4543,0.0625,6.35,0.0,101.6,0.0
4592,0.0625,10.9,0.0,174.4,0.0
4593,0.0625,45.35,0.0,725.6,0.0
4594,0.0625,67.75,1.0,1084.0,16.0
4595,0.0625,62.1,2.0,993.6,32.0
4596,0.0625,47.7,3.0,763.2,48.0
4597,0.0625,54.25,2.0,868.0,32.0
4598,0.0625,63.0,1.0,1008.0,16.0
4599,0.0625,72.05,0.0,1152.8,0.0
4600,0.0625,60.85,5.0,973.6,80.0
4601,0.0625,63.1,0.0,1009.6,0.0
4602,0.0625,64.8,4.0,1036.8,64.0
4603,0.0625,120.65,2.0,1930.4,32.0
